comparison,Score,AUC,PR-AUC,Brier,ECE_uniform_10,ECE_adaptive_10
tuned minus C=1.0,2.230132200908841e-06,-5.281647140642498e-06,-4.502791449867427e-06,-4.4021236378366524e-08,-1.5987442412383063e-06,2.2682794309863107e-06
VotingClassifier minus tuned,-0.015015670369518092,0.029734807884522874,0.03958843835874176,-0.0006433713511511154,5.030564212449935e-05,-0.001037466824410541
