model,Score,AUC,PR-AUC,Brier,ECE_uniform_10,ECE_adaptive_10,Score_SD,AUC_SD,PR-AUC_SD,Brier_SD,ECE_uniform_10_SD,ECE_adaptive_10_SD
Prevalence-only DummyClassifier,0.25701154149915134,0.5,0.028876961191312382,0.028043082307233746,3.08368937170303e-06,0.013625043253054359,8.390444676083298e-07,0.0,2.8150085230898057e-06,2.6524323669168336e-06,7.037455032925673e-07,0.00017487206722727351
LogisticRegression,0.161803473730786,0.6900079013467902,0.11864957846856057,0.026769271836475244,0.0004604257802490267,0.002216268057710115,0.0017225191060877979,0.0033762785235964933,0.003941165404026998,8.374795314368588e-05,0.00015147983343695177,0.0005583178576057772
Soft-voting VotingClassifier,0.1467900334934871,0.7197374275841358,0.15823351398564975,0.02612585646408775,0.0005091326781322923,0.001181069512730552,0.0019794572723703147,0.003875729494717531,0.004573061335853377,8.710739220636906e-05,0.0001524135648614521,0.00020219842198653014
