outer_fold,selected_C,inner_mean_Score,inner_mean_AUC,inner_mean_PR-AUC
1,100.0,0.16666087212833233,0.6804088924404937,0.0972919626583134
2,10000.0,0.16638138490381355,0.6808944472807127,0.09955805305875008
3,0.1,0.16663633525693974,0.6804446694704347,0.09881600892759708
4,1.0,0.1668721014050579,0.6799036762583995,0.09923739720155533
5,1.0,0.16719613384795454,0.6792388604805167,0.09984289613284762
