fold,feature,mean_abs_shap,mean_signed_shap,rank
3,acc_stats_std,0.0011258171006539,-1.2701693004282334e-05,6
3,prev_ab_YearMonthIndex_mean,0.0010949617737456,0.0003829102580308,7
3,rt_std_stats_mean,0.0009653095000641,-6.583446414195873e-05,8
3,rt_std_stats_std,0.0008262342301836,0.0001376502168233,9
3,prev_ab_all_label_sum,0.0008183872599204,-0.0001993394623474,10
3,prev_YearMonthIndex_mean,0.0007815337448472,-0.0002664920263368,11
3,err_stats_std,0.0007254158569068,6.510077637129258e-05,12
3,prev_YearMonthIndex_sum,0.0006955255779883,-0.000213083894759,13
3,acc_stats_skew,0.0006839482493051,-6.897172309192537e-05,14
3,rt_mean_stats_std,0.0006546935911025,-3.3447670327964055e-05,15
3,rt_mean_stats_skew,0.0006136493175704,-0.0001286381875796,16
3,acc_stats_mean,0.0005096598995647,-8.280014226596337e-05,17
3,prev_ab_YearMonthIndex_sum,0.0005034963861693,-0.000205030839595,18
3,rt_mean_stats_mean,0.0004769981780281,-7.357826611822642e-05,19
3,other_test_YearMonthIndex_mean,0.0004478300660846,0.0003252002451257,20
3,err_stats_skew,0.0004451783776581,-0.000129197095786,21
3,other_test_Label_mean,0.0004395174880644,-0.0002616515629831,22
3,prev_all_label_mean,0.0004282904304127,0.000271488627092,23
3,rt_mean_stats_kurt,0.0003757653750572,-6.546045865487043e-05,24
3,acc_stats_kurt,0.0003319681496514,-9.229649788880789e-05,25
3,TestDate_month,0.0003116837064069,1.796615450059344e-05,26
3,other_test_Test_id_count,0.0003113342576599,6.016244936227141e-06,27
3,rt_std_stats_skew,0.000238425273306,3.072652123131804e-05,28
3,prev_all_label_sum,0.0002329301773561,0.0001053241543183,29
3,err_stats_kurt,0.000211010056406,-9.822996798160864e-06,30
3,rt_std_stats_kurt,0.000158053839561,1.7504031853320895e-05,31
3,prev_ab_YearMonthIndex_std,9.134381144084104e-05,-2.6095788067344827e-05,32
3,prev_YearMonthIndex_std,7.395012151967148e-05,6.735470523017895e-06,33
3,other_test_YearMonthIndex_std,4.4313364229311344e-05,2.5668115556720563e-05,34
3,isna_sum,4.358799070008085e-05,1.1442936440199875e-05,35
3,prev_ab_all_label_std,4.347323101289157e-05,-3.0794492287355524e-05,36
3,prev_all_label_std,1.202879164309641e-05,1.0215493036184715e-05,37
4,Age,0.0097108408671417,0.0014705425243972,1
4,YearMonthIndex,0.005166873013775,0.0005971621138985,2
4,prev_ab_all_label_mean,0.0020888033299521,0.0019606658801536,3
4,acc_stats_std,0.0016118002290862,-0.0004524194781602,4
4,TestDate_year,0.0015381326524204,0.0001435708459295,5
4,err_stats_mean,0.001274975956665,0.0002964427135498,6
4,prev_YearMonthIndex_mean,0.0010261054664297,-0.0001487844492925,7
4,prev_ab_YearMonthIndex_mean,0.0007648191811467,-0.0001285429199322,8
4,prev_YearMonthIndex_sum,0.0005902627345225,-0.0001823500671119,9
4,err_stats_std,0.000584677391963,2.134195286001995e-05,10
4,rt_mean_stats_kurt,0.0005741240018952,7.588275915320886e-05,11
4,err_stats_skew,0.000501441962614,0.0001115682245427,12
4,rt_mean_stats_mean,0.0004624444161277,-1.354662758832449e-05,13
4,rt_std_stats_std,0.0004564764456757,9.014292179862916e-05,14
4,rt_std_stats_mean,0.0004381092309137,1.643960182871914e-05,15
4,other_test_YearMonthIndex_mean,0.0004371173096158,2.42526467357367e-05,16
4,rt_mean_stats_skew,0.0003853766896884,4.6692784969525774e-05,17
4,rt_mean_stats_std,0.0003754853547058,5.278381906231815e-05,18
4,TestDate_month,0.0003646901852923,7.388799569501389e-05,19
4,acc_stats_skew,0.0003517114433588,6.140979290463867e-05,20
4,acc_stats_kurt,0.0003184638189779,4.924294765905229e-05,21
4,prev_ab_YearMonthIndex_sum,0.0003144050802021,-5.209546922416571e-05,22
4,prev_ab_all_label_sum,0.0002808341345782,0.0002720023267289,23
4,acc_stats_mean,0.000267279344924,5.397334311816933e-06,24
4,err_stats_kurt,0.000231621890556,1.6201693867886904e-05,25
4,rt_std_stats_skew,0.0002017061286401,2.256192291081326e-05,26
4,prev_all_label_mean,0.0001723113294085,8.513611409150883e-05,27
4,rt_std_stats_kurt,0.0001586719691762,3.4903787049272165e-05,28
4,other_test_Test_id_count,0.0001206297293972,5.103349683165504e-05,29
4,other_test_Label_mean,9.61642970436508e-05,6.319515331302264e-05,30
4,isna_sum,7.405086997953764e-05,-1.1729782685198376e-05,31
4,prev_all_label_sum,6.230327596879613e-05,3.157114081951991e-05,32
4,prev_ab_YearMonthIndex_std,6.084168378506847e-05,-3.1105415457114238e-06,33
4,prev_YearMonthIndex_std,2.581940862818507e-05,-9.124189958555765e-06,34
4,other_test_YearMonthIndex_std,1.4310472496763685e-05,1.1463951003734526e-05,35
4,prev_ab_all_label_std,1.0203583541799656e-05,5.715041539946697e-06,36
4,prev_all_label_std,5.642169628690718e-06,3.3025176141847958e-06,37
