model,Score,AUC,PR-AUC,Brier,ECE_uniform_10,ECE_adaptive_10,Score_SD,AUC_SD,PR-AUC_SD,Brier_SD,ECE_uniform_10_SD,ECE_adaptive_10_SD
LogisticRegression (C=1.0),0.16180347373080428,0.6900079013467536,0.11864957841835785,0.026769271836475244,0.0004604257802490313,0.0022162680577101066,0.0017225189225628112,0.003376278149265369,0.003941165409111027,8.374795314368588e-05,0.0001514798334369961,0.0005583178576057802
LogisticRegression (inner-tuned C),0.1618057038630052,0.690002619699613,0.11864507562690799,0.026769227815238866,0.00045882703600779297,0.002218536337141093,0.0017231907283175225,0.0033778316520416928,0.003944870472154838,8.372696420565356e-05,0.00015146302573283344,0.0005534706675733854
VotingClassifier,0.1467900334934871,0.7197374275841358,0.15823351398564975,0.02612585646408775,0.0005091326781322923,0.001181069512730552,0.0019794572723703147,0.003875729494717531,0.004573061335853377,8.710739220636906e-05,0.0001524135648614521,0.00020219842198653014
