fold,fold_1,fold_2,fold_3,fold_4,fold_5
fold_1,1.0,0.9504504504504504,0.8651019440493125,0.8639165481270744,0.8655761024182077
fold_2,0.9504504504504504,1.0,0.8608345187292555,0.8297771455666193,0.8357041251778093
fold_3,0.8651019440493125,0.8608345187292555,1.0,0.8914177335229967,0.9106211474632527
fold_4,0.8639165481270744,0.8297771455666193,0.8914177335229967,1.0,0.9319582740635373
fold_5,0.8655761024182077,0.8357041251778093,0.9106211474632527,0.9319582740635373,1.0
