feature,consensus_rank,mean_abs_shap,sd_abs_shap,mean_signed_shap,sd_signed_shap,mean_rank,sd_rank,min_rank,max_rank,top5_fold_count,top10_fold_count,top20_fold_count,rank_fold_1,rank_fold_2,rank_fold_3,rank_fold_4,rank_fold_5,mean_abs_shap_fold_1,mean_abs_shap_fold_2,mean_abs_shap_fold_3,mean_abs_shap_fold_4,mean_abs_shap_fold_5
acc_stats_kurt,23,0.0003593506655395,0.00011748306757507101,3.888407821015579e-06,9.107865684680341e-05,20.8,5.118593556827891,12,25,0,0,1,23,23,25,21,12,0.000284214775741,0.0002952968679716,0.0003319681496514,0.0003184638189779,0.0005668097153556
acc_stats_mean,24,0.0003247005326093,0.00010616908788148533,-4.108132237388771e-06,6.75380514102029e-05,22.4,3.361547262794322,17,26,0,0,1,26,22,17,24,23,0.0002443049498579,0.0002994441917075,0.0005096598995647,0.000267279344924,0.0003028142769924
TestDate_month,25,0.00028884098561838,5.499451518418809e-05,3.3540469345333276e-05,3.303857548468496e-05,24.6,3.4351128074635335,19,28,0,0,1,28,24,26,19,26,0.0002233818360602,0.0002944235531293,0.0003116837064069,0.0003646901852923,0.0002500256472032
err_stats_kurt,26,0.00025172750942156,4.0445633612646233e-05,1.7822763104871085e-05,4.0808874059523374e-05,25.0,3.5355339059327378,20,30,0,0,1,25,20,30,25,25,0.0002459029236823,0.0003184157600842,0.000211010056406,0.000231621890556,0.0002516869163793
other_test_Label_mean,27,0.00024106228371875018,0.00013970525580764964,-3.278826441818175e-05,0.00015489611301460588,25.8,3.63318042491699,22,30,0,0,0,22,27,22,30,28,0.0003169366093205,0.0002185197491193,0.0004395174880644,9.61642970436508e-05,0.0001341732750459
prev_all_label_sum,28,0.00021427552033341925,0.0001278220415807082,3.199477733838252e-05,0.00014285337877407715,26.2,5.805170109479997,19,32,0,0,1,21,19,29,32,30,0.0003395730653398,0.0003326942445037,0.0002329301773561,6.230327596879613e-05,0.0001038768384987
rt_std_stats_skew,29,0.00018061576990651998,3.9198080020651346e-05,2.4881909217392437e-05,1.5384418429177788e-05,28.2,1.9235384061671341,26,31,0,0,0,31,29,28,26,27,0.0001579026686462,0.0001640301037712,0.000238425273306,0.0002017061286401,0.0001410146751691
other_test_Test_id_count,30,0.0001708764581553142,0.00010587123893828365,2.4740319235155546e-05,2.3733302873030405e-05,28.4,3.0495901363953815,24,32,0,0,0,24,30,27,29,32,0.0002519355431976,0.0001111685990175,0.0003113342576599,0.0001206297293972,5.931416150437093e-05
rt_std_stats_kurt,31,0.0001469369245923889,5.0582870173109815e-05,1.375783304429695e-05,1.5105636502374424e-05,29.8,1.30384048104053,28,31,0,0,0,30,31,31,28,29,0.0002187799390803,8.677885278784448e-05,0.000158053839561,0.0001586719691762,0.0001124000223566
prev_ab_YearMonthIndex_std,32,7.097430516957746e-05,1.4517270179323003e-05,-4.774356703998936e-06,1.2718408101781527e-05,32.8,1.3038404810405297,31,34,0,0,0,34,34,32,33,31,7.823849490375073e-05,5.449377843340028e-05,9.134381144084104e-05,6.084168378506847e-05,6.995375728482678e-05
isna_sum,33,6.472769334953427e-05,2.1890029436302173e-05,3.8070858719923732e-06,1.8817739004233414e-05,33.0,1.5811388300841895,31,35,0,0,0,33,32,35,31,34,8.895476806353114e-05,7.748188755572655e-05,4.358799070008085e-05,7.405086997953764e-05,3.956295044879517e-05
prev_YearMonthIndex_std,34,5.676576986600495e-05,3.5628754909787654e-05,-1.637729957314453e-05,2.527229816444746e-05,33.6,1.51657508881031,32,36,0,0,0,32,36,33,34,33,0.000110721220889,2.939902756392207e-05,7.395012151967148e-05,2.581940862818507e-05,4.39390707292461e-05
prev_ab_all_label_std,35,3.920118035482285e-05,1.8124305308271592e-05,-1.2160633658567554e-05,2.53463959486309e-05,35.0,1.2247448713915898,33,36,0,0,0,35,33,36,36,35,4.987978292494827e-05,5.722828493340475e-05,4.347323101289157e-05,1.0203583541799656e-05,3.522101936107001e-05
other_test_YearMonthIndex_std,36,1.5584942566200822e-05,1.6653915530795037e-05,5.312576972083796e-06,1.4063855523524547e-05,36.0,1.4142135623730951,34,37,0,0,0,37,37,34,35,37,3.584882004859433e-06,4.771551090634341e-06,4.4313364229311344e-05,1.4310472496763685e-05,1.0944443009435307e-05
prev_all_label_std,37,2.6220993223801157e-05,1.866445227589305e-05,1.3324544629461987e-05,8.48163331095227e-06,36.2,0.8366600265340757,35,37,0,0,0,36,35,37,37,36,4.5448119142996246e-05,4.578386681098237e-05,1.202879164309641e-05,5.642169628690718e-06,2.220201889324004e-05
