outer_fold,C,Score,AUC,PR-AUC,Brier,ECE_uniform_10,ECE_adaptive_10,Score_SD,AUC_SD,PR-AUC_SD,Brier_SD,ECE_uniform_10_SD,ECE_adaptive_10_SD
1,0.0001,0.1725142600468423,0.6687963508384213,0.09161316435013735,0.02716253115671571,0.00048721070749600527,0.003910949765507909,0.0008559563391633139,0.0017863620868408638,0.005786127862185722,9.875769602879693e-05,0.0002493959943179579,0.0001046842455921827
1,0.001,0.1680557533686331,0.6775948884090514,0.09763962726583127,0.027094918983016497,0.0003178713096188605,0.0023703460192592046,0.0010332080213136515,0.0019997356515381267,0.005772042094543584,9.958056278583079e-05,0.0001787730287067088,0.00016779097435149943
1,0.01,0.1669411946657063,0.67984508384528,0.09813648800923251,0.027095820918213418,0.0003591254351719584,0.002246699803843564,0.0010241279870207196,0.0019769149113759944,0.005642240503296862,0.00010206238108563249,9.284627464188009e-05,0.0002754891831528721
1,0.1,0.1667420336110874,0.6802607472388513,0.09716350037597965,0.027100038308003158,0.0003895906140489337,0.002063928099660927,0.001055037548227333,0.0020423291743692663,0.005385295457392705,9.974436775454786e-05,9.649915266126602e-05,0.0003300281838352725
1,1.0,0.16669880808458012,0.6803475141610176,0.0969995265545201,0.027101060914074247,0.0003891997462814419,0.002028226380495954,0.001040077758249445,0.0020123695898954463,0.005390342854967184,0.00010003351740998462,8.879416956513784e-05,0.00025617819581909046
1,10.0,0.16667024833261568,0.6803901315381912,0.09735002424441348,0.027100520769430425,0.00036073563741482697,0.002081459131174321,0.0010529544637602637,0.0020215305399331456,0.005778556184553722,0.00010008339617800502,0.00012349637148695384,0.00032111277068896086
1,100.0,0.16666087212833233,0.6804088924404937,0.0972919626583134,0.02710102195241811,0.00036025144189880186,0.0021042765862588,0.0010639580067784262,0.0020456779443508324,0.005777785078508524,0.00010002198680679391,0.00012025645365389981,0.00030046688014867084
1,1000.0,0.16666275737293504,0.6804063472829257,0.0973010511485745,0.027100934067325003,0.0003627899902667025,0.0021057806025384985,0.0010614242162599026,0.0020422948408093766,0.00577774541714263,0.00010003185128291579,0.00011572443024675237,0.0003027231087266962
1,10000.0,0.16666287701813326,0.6804061476480223,0.09730150405968264,0.02710092726522136,0.00036287610335622575,0.0021058201177927066,0.001061260344692679,0.002042026095562247,0.005777703603898326,0.0001000326197417053,0.00011556135744007998,0.00030266002240955566
2,0.0001,0.1722945528372167,0.6692816563639278,0.09236194746566556,0.0271415850835442,0.0005999389931782344,0.003889770561192082,0.0005385418949751474,0.0011306920810942962,0.0027435673635274643,4.5741867416712264e-05,0.00016891321615345755,0.00021707736677921408
2,0.001,0.16773087079126592,0.6782130066784946,0.09942311463817839,0.027064258995136165,0.0002852375269169004,0.002573745964193987,0.000275177227270882,0.0005331312622966717,0.0011864730551281052,3.335849684244856e-05,3.3323571333899474e-05,0.0002910619918216074
2,0.01,0.16662638761906864,0.6804214136223843,0.09996652068701684,0.027064202135919247,0.00028417558512378336,0.002523484328399464,0.00035541711127858884,0.0006829302303323761,0.0011785073514529408,3.1927049618725233e-05,0.00010741438417484546,0.00027139009116423506
2,0.1,0.16642499636722538,0.6808383070107196,0.09956620354268282,0.027067188034014478,0.0003094114563261824,0.0023853983560340603,0.0004128011787127529,0.0007664204094835453,0.0011563283579348136,3.1230739897914303e-05,0.00010886506076500773,0.000165779216435235
2,1.0,0.1663834637808411,0.6808908336423135,0.09956354975726406,0.027067388792993138,0.0002481336149982493,0.002428271351447271,0.00031105069673906255,0.0005899579404773849,0.0013675489487284653,3.318867796833684e-05,4.6933545722777934e-05,0.00014864726399547285
2,10.0,0.16638180835822627,0.6808941394025317,0.09955831295837225,0.027067448397046567,0.0002480638409221941,0.0024166659345972023,0.0003116219950136295,0.0005912248906193948,0.0013721058414191214,3.319321516533338e-05,4.6623489089969144e-05,0.0001452934414312918
2,100.0,0.16638140254571923,0.6808944129159621,0.09955785723328558,0.027067454612647635,0.0002469814021533216,0.0024165668679583547,0.0003121120908018731,0.0005913983735180916,0.0013719142275092186,3.319334206318283e-05,4.6961509728951295e-05,0.00015318797354852462
2,1000.0,0.16638138653716272,0.6808944440970549,0.09955806054462717,0.02706745523560235,0.00024697910715815706,0.00241655699874878,0.00031212583201414964,0.0005914238688505126,0.0013719476277764735,3.3193351255200706e-05,4.69549198743454e-05,0.0001531874939339356
2,10000.0,0.16638138490381355,0.6808944472807127,0.09955805305875008,0.027067455297907952,0.0002469788787714558,0.002416556012245243,0.0003121272096696538,0.0005914265269086663,0.0013719311965450793,3.319335213987632e-05,4.695425863332237e-05,0.00015318744647502592
3,0.0001,0.1723445082941657,0.6691383433984411,0.09190349904648594,0.027150563122190444,0.0005041568513545831,0.003958522929595701,0.0012673809240069198,0.0026407536409494598,0.0004314759260298026,5.94165481541904e-06,0.0002870325457229946,0.00021961657844165182
3,0.001,0.16794428793018365,0.6777973621444686,0.09871015762108294,0.027074883716885014,0.0002969922927867655,0.002610580144757367,0.001635851908542421,0.003265355309389129,0.0008496574568181409,1.6764305700516568e-05,4.7424363837861374e-05,8.911498695424485e-05
3,0.01,0.16682988103289606,0.6800455374647901,0.09926018578220248,0.027072750446812316,0.0003378486143522585,0.0024137827899058982,0.0016953521068085564,0.0033386288680078194,0.0012035424951605269,2.4349676677854578e-05,8.018463678270208e-05,0.0001366568235100951
3,0.1,0.16663633525693974,0.6804446694704347,0.09881600892759708,0.027076670122379177,0.0003580098462491292,0.0024241183007425613,0.0017666510840199075,0.0034997395683527624,0.0010956509362411873,2.317144900686012e-05,7.109585720039167e-05,4.998814057344672e-05
3,1.0,0.16672016005066967,0.6802551451341251,0.09877527309728255,0.027076403703493967,0.0003145267674348581,0.0024214520556061644,0.001614601066254003,0.0031587058393790536,0.0010816261005002783,2.4087878774924453e-05,0.00011690874208459405,3.967084131642985e-05
3,10.0,0.1667221191787824,0.6802693527579756,0.09877219983536738,0.027076235447438576,0.0003509467836421977,0.0024680902482407284,0.0016010252005088624,0.0031591020773944537,0.001089526787935779,2.4350721065154355e-05,6.745413299546579e-05,3.0193548958798426e-05
3,100.0,0.16671289844003545,0.6802979967379917,0.0987463134411664,0.02707643704812206,0.00037115018800317157,0.0024415696839508506,0.0016134445892504537,0.0032008014090836438,0.0010598264697759194,2.404377910873004e-05,5.230960089762018e-05,1.3292380079592723e-05
3,1000.0,0.16671244923200365,0.6802989839393656,0.09874229893320914,0.027076455266605525,0.00037130954014020064,0.002441661935195156,0.0016139629619051155,0.0032020250377020774,0.0010552876872871593,2.401617996027928e-05,5.234240740274618e-05,1.3169862365538995e-05
3,10000.0,0.16671239803073323,0.6802991085550686,0.09874193509205442,0.027076457181397756,0.0003713520516721054,0.002441672663820371,0.0016140282230245712,0.003202195445114749,0.001054894980731327,2.401327506131451e-05,5.234060506117926e-05,1.3155915617656112e-05
4,0.0001,0.17289686744104737,0.6680509994224734,0.09268643980704282,0.027140387769460244,0.0005490808396759135,0.0037678496974836,0.0013597989295946944,0.0027322465204776968,0.0024229514657896256,4.233743114057847e-05,4.751648421060727e-05,0.00039146534668181256
4,0.001,0.16841387771439661,0.6768397335868022,0.09959928325134128,0.0270673428254128,0.00026763520577814036,0.0024152604484602145,0.0007062572415609016,0.0014293927364764758,0.002765274191866198,4.4293037057587844e-05,4.870210109339814e-05,0.00018632054651659854
4,0.01,0.16714765129981668,0.6793632680185349,0.1000201900848373,0.027067444085683897,0.00024969715065240603,0.0022678950970418128,0.0005991252625336743,0.0011623163249362052,0.002174196086884049,4.0870545719549384e-05,8.85032112596021e-05,4.2017326666943e-05
4,0.1,0.16697593347302842,0.679714870102913,0.09944543555503738,0.027072269681316666,0.00026120441662275085,0.0022120890135270796,0.0005948220340263633,0.0011642412022120512,0.0023020883561007234,4.2660770234817646e-05,0.0001098819668528861,0.00023397460909935138
4,1.0,0.1668721014050579,0.6799036762583995,0.09923739720155533,0.027073843724906548,0.00022191441212400184,0.0023092835996075716,0.0004995660257205098,0.0009732175443205417,0.00223776288586424,4.087609223689397e-05,0.00011237908613702215,0.0001499316115750503
4,10.0,0.16688144539250271,0.6798876057763324,0.099331668360458,0.027073462668950412,0.00022753045372520464,0.0022776517271378798,0.0004976365952953496,0.0009752778852717453,0.0022532298570101038,4.1072149456788114e-05,0.00010648796218699299,0.00013615742601628622
4,100.0,0.1668813763599126,0.6798894468568232,0.09933207724664302,0.02707349062994838,0.00023090852334832566,0.0022963972837901545,0.0004976672005508431,0.0009734635953117827,0.0022556198751268715,4.103933925239382e-05,0.00010451426776744886,0.00012638674213013003
