Metric,Observed,Bootstrap Mean,95% CI
ΔAUC (Model D − Model B),0.001935,0.001913,0.001194 ~ 0.002596
ΔPR-AUC (Model D − Model B),0.002823,0.002845,0.002082 ~ 0.003634
